Z,Atom,A,B,Value,Uncertainty,Method,Year,Citation,Links,Notes
40,Ca+,3D5/2,,1110000000,9000000,CCSD(T),2006,"B. K. Sahoo, Md. R. Islam, B. P. Das, R. K. Chaudhuri, D. Mukherjee, Phys. Rev. A 74 (2006) 062504.",https://doi.org/10.1103/PhysRevA.74.062504,
38,Sr+,4D3/2,,426000000,8000000,CCSD(T),2006,"B. K. Sahoo, Md. R. Islam, B. P. Das, R. K. Chaudhuri, D. Mukherjee, Phys. Rev. A 74 (2006) 062504.",https://doi.org/10.1103/PhysRevA.74.062504,
38,Sr+,4D5/2,,357000000,12000000,CCSD(T),2006,"B. K. Sahoo, Md. R. Islam, B. P. Das, R. K. Chaudhuri, D. Mukherjee, Phys. Rev. A 74 (2006) 062504.",https://doi.org/10.1103/PhysRevA.74.062504,
12,Mg+,4S1/2,,2.95,,Theory,2006,"C. F. Fischer, G. Tachiev, A. Irimia, At. Data Nucl. Data Tables 92 (2006) 607.",https://doi.org/10.1016/j.adt.2006.03.001,
12,Mg+,3D3/2,,1.96,,Theory,2006,"C. F. Fischer, G. Tachiev, A. Irimia, At. Data Nucl. Data Tables 92 (2006) 607.",https://doi.org/10.1016/j.adt.2006.03.001,
12,Mg+,3D5/2,,1.97,,Theory,2006,"C. F. Fischer, G. Tachiev, A. Irimia, At. Data Nucl. Data Tables 92 (2006) 607.",https://doi.org/10.1016/j.adt.2006.03.001,
12,Mg+,4P1/2,,19,,Theory,2006,"C. F. Fischer, G. Tachiev, A. Irimia, At. Data Nucl. Data Tables 92 (2006) 607.",https://doi.org/10.1016/j.adt.2006.03.001,
12,Mg+,4P3/2,,18.8,,Theory,2006,"C. F. Fischer, G. Tachiev, A. Irimia, At. Data Nucl. Data Tables 92 (2006) 607.",https://doi.org/10.1016/j.adt.2006.03.001,
12,Mg+,5S1/2,,5.05,,Theory,2006,"C. F. Fischer, G. Tachiev, A. Irimia, At. Data Nucl. Data Tables 92 (2006) 607.",https://doi.org/10.1016/j.adt.2006.03.001,
12,Mg+,4D3/2,,7.31,,Theory,2006,"C. F. Fischer, G. Tachiev, A. Irimia, At. Data Nucl. Data Tables 92 (2006) 607.",https://doi.org/10.1016/j.adt.2006.03.001,
12,Mg+,4D5/2,,7.35,,Theory,2006,"C. F. Fischer, G. Tachiev, A. Irimia, At. Data Nucl. Data Tables 92 (2006) 607.",https://doi.org/10.1016/j.adt.2006.03.001,
12,Mg+,4F5/2,,4.28,,Theory,2006,"C. F. Fischer, G. Tachiev, A. Irimia, At. Data Nucl. Data Tables 92 (2006) 607.",https://doi.org/10.1016/j.adt.2006.03.001,
12,Mg+,4F7/2,,4.28,,Theory,2006,"C. F. Fischer, G. Tachiev, A. Irimia, At. Data Nucl. Data Tables 92 (2006) 607.",https://doi.org/10.1016/j.adt.2006.03.001,
12,Mg+,5P1/2,,48.3,,Theory,2006,"C. F. Fischer, G. Tachiev, A. Irimia, At. Data Nucl. Data Tables 92 (2006) 607.",https://doi.org/10.1016/j.adt.2006.03.001,
12,Mg+,5P3/2,,48.2,,Theory,2006,"C. F. Fischer, G. Tachiev, A. Irimia, At. Data Nucl. Data Tables 92 (2006) 607.",https://doi.org/10.1016/j.adt.2006.03.001,
12,Mg+,6S1/2,,8.18,,Theory,2006,"C. F. Fischer, G. Tachiev, A. Irimia, At. Data Nucl. Data Tables 92 (2006) 607.",https://doi.org/10.1016/j.adt.2006.03.001,
12,Mg+,5D3/2,,18.1,,Theory,2006,"C. F. Fischer, G. Tachiev, A. Irimia, At. Data Nucl. Data Tables 92 (2006) 607.",https://doi.org/10.1016/j.adt.2006.03.001,
12,Mg+,5D5/2,,18.2,,Theory,2006,"C. F. Fischer, G. Tachiev, A. Irimia, At. Data Nucl. Data Tables 92 (2006) 607.",https://doi.org/10.1016/j.adt.2006.03.001,
12,Mg+,5F5/2,,8.14,,Theory,2006,"C. F. Fischer, G. Tachiev, A. Irimia, At. Data Nucl. Data Tables 92 (2006) 607.",https://doi.org/10.1016/j.adt.2006.03.001,
12,Mg+,5F7/2,,8.14,,Theory,2006,"C. F. Fischer, G. Tachiev, A. Irimia, At. Data Nucl. Data Tables 92 (2006) 607.",https://doi.org/10.1016/j.adt.2006.03.001,
12,Mg+,3P1/2,,3.64,,Theory,2006,"C. F. Fischer, G. Tachiev, A. Irimia, At. Data Nucl. Data Tables 92 (2006) 607.",https://doi.org/10.1016/j.adt.2006.03.001,
12,Mg+,3P3/2,,3.61,,Theory,2006,"C. F. Fischer, G. Tachiev, A. Irimia, At. Data Nucl. Data Tables 92 (2006) 607.",https://doi.org/10.1016/j.adt.2006.03.001,
56,Ba+,5D3/2,,82000000000,,Theory,2007,"J. Gurell, E. Bi�mont, K. Blagoev, V. Fivet, P. Lundin, S. Mannervik, L. -O. Norlin, P. Quinet, D. Rostohar, P. Royen, P. Schef, Phys. Rev. A 75 (2007) 052506.",https://doi.org/10.1103/PhysRevA.75.052506,
56,Ba+,5D5/2,,31600000000,,Theory,2007,"J. Gurell, E. Bi�mont, K. Blagoev, V. Fivet, P. Lundin, S. Mannervik, L. -O. Norlin, P. Quinet, D. Rostohar, P. Royen, P. Schef, Phys. Rev. A 75 (2007) 052506.",https://doi.org/10.1103/PhysRevA.75.052506,
40,Ca+,4P1/2,,6.931,,CCSD(T),2009,"B. K. Sahoo, B. P. Das, D. Mukherjee, Phys. Rev. A 79 (2009) 052511.",https://doi.org/10.1103/PhysRevA.79.052511,
